Nome,Ruolo,Squadra,Media,FantaMedia,>= 6,MotM,Con voto,Senza voto,G,R,Reti,Rigori,Assist,Rigori sbagliati,Autogoal,Goal subiti,Rigori parati,Attivo
Ramadani,Centrocampista,Lecce,6.00,6.00,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Helgason,Centrocampista,Lecce,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Gabbia,Difensore,Milan,6.00,6.00,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Spinazzola,Difensore,Napoli,6.00,6.00,1,0,1,1,0,0,0,0,0,0,0,0,0,True
Suzuki,Portiere,Parma,6.25,4.50,2,0,2,0,1,0,0,0,0,0,0,3,0,True
Tourè I.,Centrocampista,Pisa,6.50,6.50,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Baldanzi,Centrocampista,Roma,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Thorstvedt,Centrocampista,Sassuolo,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Ismajli,Difensore,Torino,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Maripan,Difensore,Torino,6.50,6.50,1,0,1,0,0,0,0,0,0,0,0,0,0,True
Ilic,Centrocampista,Torino,6.00,6.00,1,0,1,0,0,0,0,0,0,0,0,0,0,True
Kristensen T.,Difensore,Udinese,6.75,8.25,2,0,2,0,0,0,1,0,0,0,0,0,0,True
Kamara H.,Difensore,Udinese,6.00,6.00,1,0,1,0,0,0,0,0,0,0,0,0,0,True
Karlstrom,Centrocampista,Udinese,6.25,6.25,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Harroui,Centrocampista,Verona,5.75,5.75,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Sarr A.,Attaccante,Verona,5.25,5.25,0,0,2,0,0,0,0,0,0,0,0,0,0,True
Mosquera,Attaccante,Verona,6.00,6.00,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Cuadrado,Difensore,Pisa,5.75,5.75,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Idzes,Difensore,Sassuolo,5.50,5.50,0,0,1,0,0,0,0,0,0,0,0,0,0,True
Gutierrez,Difensore,Napoli,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Lorran,Centrocampista,Pisa,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Cornet,Centrocampista,Genoa,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Kolasinac,Difensore,Atalanta,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Ahanor,Difensore,Atalanta,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Zappa,Difensore,Cagliari,6.00,5.75,2,0,2,0,1,0,0,0,0,0,0,0,0,True
Adopo,Centrocampista,Cagliari,6.00,6.00,2,0,2,0,0,0,0,0,0,0,0,0,0,True
